,sex,age_class,comp,triangle1,triangle2,doubleness1,doubleness2,doubleness3
0,Male,20,144,216,144,216,216,144
1,Female,20,216,144,288,144,original,216
2,Female,20,288,216,216,original,144,216
3,Female,20,144,216,144,144,216,216
4,Female,20,144,216,144,216,144,144
5,Female,20,original,72,144,288,72,72
6,Female,20,288,original,288,original,original,216
7,Male,20,216,216,144,144,72,216
8,Female,20,72,72,144,72,original,72
9,Female,20,216,144,216,216,144,144
10,Female,20,216,216,216,216,216,216
11,Male,20,original,216,216,original,216,original
12,Female,20,216,144,216,72,144,72
13,Female,20,72,144,216,original,72,72
14,Female,20,288,144,216,288,144,original
15,Female,50,288,original,288,original,288,288
16,Female,20,144,144,216,144,144,216
17,Female,20,216,216,288,original,288,216
18,Male,20,216,216,288,216,216,original
19,Female,20,144,144,288,original,original,72
20,Female,20,72,216,144,216,72,72
21,Female,20,72,72,72,72,72,72
22,Female,20,144,216,144,216,144,144
23,Female,20,original,288,288,144,original,216
24,Male,20,144,144,216,216,144,144
25,Male,20,144,216,144,216,144,144
26,Female,20,144,72,72,72,72,144
27,Female,20,144,216,72,288,144,144
28,Male,30,216,72,216,216,144,original
29,Female,20,144,72,144,216,144,72
30,Female,20,original,216,216,288,original,288
31,Male,20,216,original,144,216,72,288
32,Female,20,216,72,144,original,144,144
33,Female,40,144,144,72,72,144,72
34,Female,20,144,original,original,216,288,216
35,Female,50,216,144,288,216,144,72
36,Female,20,288,216,288,288,288,288
37,Male,20,288,144,216,216,216,original
38,Male,20,72,72,288,144,144,144
39,Female,40,288,144,288,216,288,144
40,Male,20,144,216,216,216,144,144
41,Female,20,144,144,144,216,216,216
42,Male,20,216,288,144,144,216,144
43,Female,20,72,72,144,72,72,72
44,Female,20,72,72,216,72,72,144
45,Female,20,288,144,288,original,original,original
46,Female,20,144,72,144,144,216,72
47,Female,20,216,144,216,216,144,216
48,Female,20,144,72,72,original,72,72
49,Female,20,72,72,72,72,72,72
50,Female,20,144,72,216,216,144,288
51,Female,30,72,original,72,72,72,216
52,Male,20,144,216,original,original,288,288
53,Female,20,144,216,216,144,216,216
54,Female,20,144,144,144,144,144,144
55,Male,20,144,216,144,144,72,144
56,Female,20,288,72,72,288,72,72
57,Female,20,144,216,144,144,144,144
58,Female,30,72,288,144,144,72,72
59,Female,20,144,144,72,original,216,144
60,Male,20,288,216,288,288,288,288
61,Male,20,288,144,288,288,original,original
62,Female,20,72,72,216,288,144,216
63,Female,40,144,72,216,144,original,288
64,Female,20,288,144,288,216,144,original
65,Female,20,216,216,216,216,144,288
66,Female,20,72,original,72,144,144,72
67,Female,20,216,216,original,144,216,216
68,Female,20,144,72,144,216,72,144
69,Female,20,144,144,72,216,144,original
70,Female,20,original,216,288,72,144,216
71,Female,20,original,144,144,144,144,144
72,Female,20,144,144,216,144,144,144
73,Female,20,original,216,288,original,288,288
74,Female,20,144,original,72,288,72,288
75,Male,20,72,72,72,72,72,72
76,Female,20,288,144,288,72,288,144
77,Female,20,144,72,144,144,72,216
78,Female,30,216,72,216,216,original,72
79,Female,20,original,72,288,288,72,144
80,Female,20,144,72,72,72,72,144
81,Male,20,72,72,72,144,144,72
82,Female,20,72,72,144,72,288,72
83,Female,20,216,144,288,216,144,288
84,Male,20,original,144,216,144,216,216
85,Female,20,144,original,144,216,144,original
86,Female,20,144,144,144,144,144,144
87,Female,30,216,216,216,144,144,288
88,Female,30,72,72,144,288,288,72
89,Female,20,216,144,288,288,216,72
90,Female,20,72,144,original,144,144,144
91,Female,20,144,original,original,72,original,144
92,Female,20,144,original,216,216,288,original
93,Female,20,original,144,144,144,72,216
94,Female,20,144,144,144,216,216,144
95,Female,20,144,72,144,144,288,72
96,Male,20,144,216,288,216,216,216
97,Female,20,216,144,288,original,288,216
98,Female,10,216,288,144,144,72,72
99,Male,20,144,216,216,288,144,288
100,Male,30,288,72,288,288,288,288
101,Female,20,144,216,288,288,216,original
102,Male,20,288,216,288,original,288,216
103,Female,20,144,216,144,288,144,288
104,Female,20,144,216,216,original,144,original
105,Male,20,216,216,288,original,288,288
106,Female,20,288,72,144,72,216,288
107,Female,20,288,216,288,288,216,original
108,Female,20,72,original,144,144,144,144
109,Male,20,72,216,216,216,216,original
110,Female,20,288,216,288,216,144,288
111,Female,20,144,216,72,144,288,144
112,Female,30,original,288,144,216,216,216
113,Male,30,144,144,216,144,288,288
114,Female,20,144,288,144,144,144,216
115,Male,20,original,144,72,144,216,288
116,Female,20,216,72,288,original,72,216
