,sex,age_class,definition,need,purpose,interest,comp,triangle1,triangle2,doubleness1,doubleness2,doubleness3
0,Male,20,harmony,harmony,clothes,5,4,5,2,3,2,2
1,Female,20,bright,harmony,clothes,5,1,1,2,2,3,2
2,Female,20,bright,bright,clothes,3,2,4,1,2,1,2
3,Female,20,harmony,harmony,clothes,3,5,5,4,5,4,1
4,Female,20,bright,bright,etc,4,4,2,1,1,2,2
5,Female,20,harmony,harmony,etc,2,3,4,1,2,2,2
6,Female,20,harmony,harmony,etc,5,1,4,5,3,3,3
7,Male,20,harmony,harmony,clothes,3,1,1,3,1,5,5
8,Female,20,harmony,harmony,clothes,4,1,4,1,1,2,2
9,Female,20,bright,bright,clothes,4,5,5,2,2,1,5
10,Female,20,harmony,harmony,etc,3,5,3,2,3,5,2
11,Male,20,harmony,harmony,clothes,3,5,4,5,4,3,3
12,Female,20,harmony,harmony,etc,3,1,4,3,3,1,2
13,Female,20,bright,bright,cosmetic,3,1,3,1,1,4,2
14,Female,20,harmony,harmony,clothes,3,1,5,2,3,2,5
15,Female,50,harmony,harmony,clothes,3,2,4,4,4,4,4
16,Female,20,harmony,bright,etc,3,2,1,3,1,1,3
17,Female,20,harmony,harmony,clothes,3,3,2,3,5,1,3
18,Male,20,harmony,harmony,clothes,2,1,5,4,4,1,3
19,Female,20,bright,bright,etc,3,5,2,5,2,2,1
20,Female,20,harmony,bright,cosmetic,4,3,4,4,1,4,1
21,Female,20,harmony,harmony,cosmetic,5,1,4,5,1,1,1
22,Female,20,harmony,harmony,clothes,5,1,4,2,2,5,1
23,Female,20,harmony,harmony,etc,5,1,4,5,2,1,5
24,Male,20,harmony,harmony,clothes,2,1,3,4,2,3,2
25,Male,20,harmony,harmony,clothes,2,2,1,3,1,4,2
26,Female,20,bright,bright,etc,5,2,2,2,1,3,5
27,Female,20,bright,bright,etc,4,3,4,4,4,5,5
28,Male,30,harmony,harmony,clothes,3,4,1,1,3,2,2
29,Female,20,harmony,harmony,clothes,3,3,5,1,1,1,5
30,Female,20,bright,bright,clothes,3,1,4,5,2,1,1
31,Male,20,harmony,harmony,clothes,5,1,3,2,1,3,5
32,Female,20,harmony,bright,cosmetic,4,5,1,2,3,1,1
33,Female,40,bright,bright,etc,3,5,1,4,1,4,4
34,Female,20,harmony,harmony,etc,2,3,5,2,5,1,5
35,Female,50,bright,harmony,etc,4,3,2,3,2,2,3
36,Female,20,harmony,harmony,cosmetic,4,1,3,3,2,4,5
37,Male,20,harmony,harmony,clothes,5,5,1,4,2,1,3
38,Male,20,harmony,harmony,clothes,2,4,1,4,5,3,3
39,Female,40,bright,bright,cosmetic,5,2,4,3,2,5,1
40,Male,20,harmony,harmony,etc,5,5,1,2,1,5,5
41,Female,20,harmony,harmony,etc,2,1,4,2,2,1,5
42,Male,20,harmony,bright,clothes,4,5,4,2,2,1,4
43,Female,20,bright,bright,etc,2,4,2,1,2,2,5
44,Female,20,harmony,harmony,etc,3,5,5,4,2,3,5
45,Female,20,harmony,harmony,clothes,3,2,4,3,1,5,4
46,Female,20,harmony,harmony,etc,3,5,4,1,1,1,4
47,Female,20,harmony,bright,cosmetic,4,1,3,4,4,2,3
48,Female,20,harmony,bright,clothes,5,4,5,1,5,1,2
49,Female,20,harmony,harmony,etc,4,1,1,1,1,1,4
50,Female,20,harmony,harmony,etc,4,1,4,4,4,1,1
