,sex,age_class,definition,need,purpose,interest,comp,triangle1,triangle2,doubleness1,doubleness2,doubleness3
0,Female,20,bright,bright,clothes,3,3,4,3,2,2,1
1,Male,20,harmony,harmony,clothes,5,5,5,4,1,2,3
2,Female,20,bright,bright,clothes,5,5,5,4,2,2,1
3,Male,20,bright,harmony,clothes,3,5,5,2,5,4,5
4,Female,20,bright,bright,cosmetic,3,2,4,3,4,3,1
5,Female,30,harmony,harmony,clothes,4,3,2,2,5,4,5
6,Female,30,harmony,bright,clothes,3,3,5,3,2,3,5
7,Female,20,bright,bright,cosmetic,3,2,5,3,1,5,3
8,Female,30,harmony,bright,etc,5,2,5,1,5,2,1
9,Female,20,harmony,harmony,clothes,1,5,4,2,1,4,2
10,Female,30,harmony,bright,cosmetic,4,3,5,3,5,3,1
11,Female,20,bright,bright,etc,4,4,3,4,3,4,2
12,Female,20,harmony,bright,cosmetic,3,4,4,4,5,2,1
13,Male,20,harmony,harmony,clothes,3,2,5,3,5,2,2
14,Female,20,harmony,harmony,clothes,3,2,3,4,5,2,5
15,Female,20,bright,bright,cosmetic,5,1,3,4,2,2,5
16,Female,30,harmony,harmony,cosmetic,1,2,3,4,5,2,5
17,Male,30,harmony,harmony,clothes,4,1,4,4,2,5,3
18,Male,30,harmony,bright,clothes,1,3,5,4,5,3,5
19,Female,30,harmony,bright,clothes,4,2,5,4,2,1,3
20,Male,50,bright,bright,clothes,4,2,1,3,5,5,1
21,Male,20,harmony,harmony,clothes,1,2,2,3,2,3,3
22,Female,30,harmony,harmony,clothes,3,1,5,3,4,2,3
23,Female,20,harmony,bright,clothes,3,3,3,4,2,4,1
24,Female,20,bright,harmony,clothes,3,2,3,3,2,2,1
25,Female,20,bright,bright,clothes,4,1,3,4,4,1,1
26,Female,30,bright,bright,cosmetic,3,2,5,4,2,3,5
27,Male,40,harmony,harmony,clothes,3,3,2,2,2,3,4
28,Female,20,harmony,harmony,cosmetic,3,5,1,3,1,3,5
29,Female,20,harmony,harmony,etc,2,2,3,4,5,3,5
30,Female,20,bright,bright,cosmetic,2,1,5,5,4,4,1
31,Female,20,harmony,bright,etc,2,2,2,4,2,2,5
32,Male,30,harmony,harmony,clothes,3,3,5,2,5,2,1
33,Male,30,harmony,harmony,clothes,1,5,2,2,2,3,3
34,Female,20,harmony,harmony,clothes,3,4,1,5,1,4,1
35,Female,20,harmony,harmony,cosmetic,3,2,5,4,2,4,2
36,Male,20,harmony,bright,clothes,5,3,3,4,3,4,5
37,Male,50,harmony,bright,clothes,2,5,1,2,3,5,3
38,Male,40,harmony,harmony,clothes,3,5,5,4,4,5,4
39,Male,20,harmony,harmony,clothes,3,2,2,3,2,1,4
40,Male,50,harmony,harmony,cosmetic,5,2,4,5,4,1,1
41,Female,40,bright,bright,clothes,2,1,4,5,4,4,1
42,Male,20,harmony,harmony,clothes,2,5,5,3,3,2,5
43,Male,20,harmony,harmony,clothes,3,4,4,3,4,4,1
44,Male,20,harmony,harmony,clothes,3,3,2,2,3,2,5
45,Female,20,harmony,harmony,etc,3,4,3,5,4,3,1
46,Female,10,harmony,harmony,etc,3,3,3,1,5,4,2
47,Female,20,harmony,harmony,etc,5,2,1,1,4,2,5
48,Female,10,harmony,bright,etc,5,4,3,1,3,3,2
49,Female,10,bright,bright,etc,4,1,4,3,2,5,4
50,Male,20,harmony,bright,clothes,3,1,5,2,1,4,1
51,Male,20,harmony,harmony,clothes,2,3,3,2,3,2,5
52,Female,20,harmony,bright,etc,3,4,5,3,2,4,3
53,Female,20,harmony,harmony,etc,4,5,4,3,3,2,3
54,Female,30,harmony,harmony,etc,5,3,4,4,1,1,5
55,Female,20,bright,bright,etc,5,2,2,5,5,4,4
56,Male,20,harmony,harmony,etc,1,4,3,2,5,2,3
57,Female,20,harmony,harmony,cosmetic,3,2,3,5,2,2,2
58,Female,30,harmony,bright,etc,4,1,3,5,4,4,3
59,Male,30,harmony,harmony,clothes,3,1,5,1,2,2,3
60,Male,20,harmony,harmony,clothes,4,5,3,3,1,2,4
61,Male,10,harmony,bright,clothes,2,3,2,5,2,1,5
62,Male,20,bright,bright,clothes,4,3,5,3,2,4,1
63,Male,20,harmony,harmony,clothes,1,1,5,4,2,2,5
64,Male,20,harmony,harmony,clothes,3,5,5,3,5,2,1
65,Male,20,harmony,harmony,clothes,5,2,5,3,5,2,2
66,Female,20,harmony,harmony,etc,3,4,5,4,2,2,4
67,Male,20,harmony,harmony,clothes,4,3,2,3,5,3,2
68,Female,30,harmony,bright,cosmetic,2,5,3,3,2,4,3
69,Female,20,harmony,harmony,etc,4,4,2,3,5,4,2
70,Female,20,harmony,harmony,etc,3,2,3,5,3,4,2
71,Female,20,harmony,harmony,etc,5,3,5,3,5,2,3
72,Female,20,harmony,harmony,cosmetic,4,5,4,4,4,2,4
73,Female,10,harmony,harmony,etc,4,3,3,2,5,5,5
74,Female,30,harmony,harmony,cosmetic,4,3,3,5,2,1,3
75,Female,10,bright,bright,cosmetic,4,2,4,3,4,2,3
76,Male,20,harmony,harmony,clothes,5,2,3,3,5,3,5
77,Female,10,harmony,harmony,etc,4,5,5,5,2,5,5
78,Female,20,harmony,harmony,etc,3,3,5,3,5,4,2
79,Male,20,harmony,harmony,clothes,2,2,5,4,3,2,5
80,Male,20,harmony,harmony,cosmetic,3,2,3,3,5,2,2
81,Male,20,harmony,harmony,clothes,4,3,3,3,2,2,2
82,Female,30,harmony,harmony,etc,1,2,3,3,5,4,1
83,Female,30,harmony,bright,etc,4,3,3,4,5,3,1
84,Male,20,bright,bright,clothes,5,3,2,3,4,2,3
85,Male,20,harmony,harmony,clothes,4,1,2,4,3,3,5
86,Female,30,bright,bright,clothes,3,3,5,4,2,5,5
87,Female,30,harmony,harmony,clothes,1,3,1,3,2,2,1
88,Female,50,harmony,harmony,etc,4,3,3,5,1,4,5
89,Female,50,harmony,harmony,etc,5,2,1,5,5,4,3
90,Female,20,harmony,harmony,clothes,2,2,3,4,2,5,2
91,Female,50,bright,bright,cosmetic,3,1,1,1,1,1,1
92,Female,50,harmony,harmony,cosmetic,5,4,2,1,5,3,3
93,Female,50,bright,bright,clothes,3,4,5,2,2,2,5
94,Female,50,harmony,harmony,clothes,4,5,3,5,5,4,1
95,Female,20,bright,harmony,etc,4,3,4,4,2,4,4
