,sex,age_class,definition,need,purpose,interest,comp,triangle1,triangle2,doubleness1,doubleness2,doubleness3
0,Male,20,harmony,harmony,clothes,5,4,5,2,3,2,2
1,Female,20,bright,harmony,clothes,5,1,1,2,2,3,2
2,Female,20,bright,bright,clothes,3,2,4,1,2,1,2
3,Female,20,bright,bright,clothes,3,3,4,3,2,2,1
4,Male,20,harmony,harmony,clothes,5,5,5,4,1,2,3
5,Female,20,bright,bright,clothes,5,5,5,4,2,2,1
6,Male,20,bright,harmony,clothes,3,5,5,2,5,4,5
7,Female,20,bright,bright,cosmetic,3,2,4,3,4,3,1
8,Female,30,harmony,harmony,clothes,4,3,2,2,5,4,5
9,Female,30,harmony,bright,clothes,3,3,5,3,2,3,5
10,Female,20,bright,bright,cosmetic,3,2,5,3,1,5,3
11,Female,30,harmony,bright,etc,5,2,5,1,5,2,1
12,Female,20,harmony,harmony,clothes,1,5,4,2,1,4,2
13,Female,30,harmony,bright,cosmetic,4,3,5,3,5,3,1
14,Female,20,bright,bright,etc,4,4,3,4,3,4,2
15,Female,20,harmony,bright,cosmetic,3,4,4,4,5,2,1
16,Male,20,harmony,harmony,clothes,3,2,5,3,5,2,2
17,Female,20,harmony,harmony,clothes,3,2,3,4,5,2,5
18,Female,20,bright,bright,cosmetic,5,1,3,4,2,2,5
19,Female,30,harmony,harmony,cosmetic,1,2,3,4,5,2,5
20,Male,30,harmony,harmony,clothes,4,1,4,4,2,5,3
21,Male,30,harmony,bright,clothes,1,3,5,4,5,3,5
22,Female,30,harmony,bright,clothes,4,2,5,4,2,1,3
23,Male,50,bright,bright,clothes,4,2,1,3,5,5,1
24,Male,20,harmony,harmony,clothes,1,2,2,3,2,3,3
25,Female,30,harmony,harmony,clothes,3,1,5,3,4,2,3
26,Female,20,harmony,bright,clothes,3,3,3,4,2,4,1
27,Female,20,bright,harmony,clothes,3,2,3,3,2,2,1
28,Female,20,bright,bright,clothes,4,1,3,4,4,1,1
29,Female,30,bright,bright,cosmetic,3,2,5,4,2,3,5
30,Male,40,harmony,harmony,clothes,3,3,2,2,2,3,4
31,Female,20,harmony,harmony,cosmetic,3,5,1,3,1,3,5
32,Female,20,harmony,harmony,etc,2,2,3,4,5,3,5
33,Female,20,bright,bright,cosmetic,2,1,5,5,4,4,1
34,Female,20,harmony,bright,etc,2,2,2,4,2,2,5
35,Male,30,harmony,harmony,clothes,3,3,5,2,5,2,1
36,Male,30,harmony,harmony,clothes,1,5,2,2,2,3,3
37,Female,20,harmony,harmony,clothes,3,4,1,5,1,4,1
38,Female,20,harmony,harmony,cosmetic,3,2,5,4,2,4,2
39,Male,20,harmony,bright,clothes,5,3,3,4,3,4,5
40,Male,50,harmony,bright,clothes,2,5,1,2,3,5,3
41,Male,40,harmony,harmony,clothes,3,5,5,4,4,5,4
42,Male,20,harmony,harmony,clothes,3,2,2,3,2,1,4
43,Male,50,harmony,harmony,cosmetic,5,2,4,5,4,1,1
44,Female,40,bright,bright,clothes,2,1,4,5,4,4,1
45,Male,20,harmony,harmony,clothes,2,5,5,3,3,2,5
46,Male,20,harmony,harmony,clothes,3,4,4,3,4,4,1
47,Female,20,harmony,harmony,clothes,3,5,5,4,5,4,1
48,Female,20,bright,bright,etc,4,4,2,1,1,2,2
49,Female,20,harmony,harmony,etc,2,3,4,1,2,2,2
50,Female,20,harmony,harmony,etc,5,1,4,5,3,3,3
